Dates,auto_BTCUSDT,auto_ETHUSDT,auto_SP500,auto_NSDQ,auto_GOLD,auto_TNX,macd_BTCUSDT,macd_ETHUSDT,macd_SP500,macd_NSDQ,macd_GOLD,macd_TNX,boll_BTCUSDT,boll_ETHUSDT,ETHUSDT,BTCUSDT,SP500,TNX,NSDQ,GOLD
1.0,0.99997884,1.0006355,1.0,1.0,1.0,1.0,0.9761723,1.0996423,1.0,1.0,1.0,1.0,1.0,1.0,1.1258270699934054,0.995805378596988,1.0,1.0,1.0,1.0
2.0,1.0005305,1.0008153,1.0000323,1.0000423,1.0000097,1.0000372,0.98570985,1.1344167,1.0,1.0,1.0,1.0,1.0,1.0,1.161429553879127,1.1050303341766028,1.0063988187687816,1.0073558958903925,1.008367449746626,1.0019030220696665
3.0,1.000644,1.0013275,1.0000528,1.0000511,1.0000219,1.0000247,1.0057639,1.2334871,1.0040287,1.0017523,1.0024313,0.99755406,1.0,1.0,1.262859097786547,1.127511975607694,1.0104532333614502,1.0048919561697889,1.0101343325715981,1.0043389460714396
4.0,1.0005858,1.0018463,1.0000887,1.0000935,1.0000254,0.9999776,0.9954801,1.3338077,1.0110908,1.010053,1.003115,0.9882876,1.0,1.0,1.3655684271826072,1.1159833208453531,1.0175605264173153,0.9955573418424716,1.0185046394349988,1.0050240526007195
5.0,1.0011718,1.0015686,1.0000887,1.0000935,1.0000254,0.9999776,1.0989982,1.2800835,1.0110908,1.010053,1.003115,0.9882876,1.0,1.0,1.310564990267614,1.2320322554734167,1.0175605264173153,0.9955573418424716,1.0185046394349988,1.0050240526007195
6.0,1.0012544,1.00222,1.0000887,1.0000935,1.0000254,0.9999776,1.1135718,1.4060825,1.0110908,1.010053,1.003115,0.9882876,1.0,1.0,1.43956430953242,1.2483700145449954,1.0175605264173153,0.9955573418424716,1.0185046394349988,1.0050240526007195
7.0,1.0008513,1.0032597,1.0000973,1.0001085,1.0000188,0.9999694,1.0423759,1.6071358,1.0127715,1.0130012,1.0018234,0.98669356,1.0,1.0,1.645405103918482,1.168555909096437,1.0192520619834853,0.9939515936488832,1.0214774345962416,1.0037299418407464
8.0,1.0005295,1.0031674,1.0001105,1.0001173,0.9999659,0.9997084,1.0117526,1.5960451,1.0140911,1.0138773,0.9965811,0.9611155,1.0,1.0,1.6340503212219197,1.1342256273744489,1.0205800776994247,0.9681853517387818,1.0223608411658403,0.9984775823442668
9.0,0.9996587,1.0048233,1.0000992,1.000103,1.0000097,0.99969304,0.92887336,1.7952367,1.0129632,1.0124605,1.0009117,0.9611155,1.0,1.0,1.8379850238257318,1.0413138165949856,1.019444961156627,0.966666656871637,1.0209322130926888,1.0028165284157062
10.0,0.998929,1.0027229,1.000171,1.0001861,1.0000342,0.9997665,0.8594243,1.5425737,1.0200881,1.0206991,1.003343,0.9611155,1.0,1.0,1.5793056501021103,0.963457929367382,1.0266153766179758,0.9739233046236115,1.02923973307282,1.0052523594964797
