TimeStamp,MinerRevenue
0,10262802.9310726
1,10836466.3614449
2,11660743.772251
3,11404614.5659448
4,9557212.46284918
5,10486098.1233794
6,8932985.47548184
7,8908268.51787117
8,10338423.7285062
9,8599720.95927254
10,8462806.97951401
11,7923554.71569229
12,6049615.52431331
13,6996199.90465438
14,6900149.06328676
15,7770115.71803217
16,6188075.90968278
17,5473562.85458386
18,6208586.79845478
19,6083835.51046033
20,5723625.76989976
21,5401820.88924666
22,6537919.26876445
23,5968275.42689432
24,5738092.55036062
25,7036398.75283324
26,6291958.87095126
27,6343227.25560129
28,4960658.03065221
29,5447972.13209918
30,5614631.98059117
31,5539420.91983261
32,5337996.89872892
33,5160390.73972739
34,5827864.07679684
35,5982323.51585555
36,6057975.8545267
37,4666604.25778655
38,6740883.10593796
39,5692744.16182017
40,7089582.70129913
41,6721946.32294331
42,7076086.73385245
43,8594155.30261391
44,8916949.29743681
45,8231393.77197834
46,7569827.66594972
47,7478293.74229318
48,8145258.25043105
49,7898836.22197374
50,6745781.21785835
51,8578278.95546906
52,7453243.5205335
53,7012103.64869832
54,7474829.0609802
55,7679486.80141432
56,7115351.21898818
57,8052390.56037927
58,7171471.57828049
59,7286414.81783128
60,8944897.01275319
61,8518054.36444044
62,7609635.02307813
63,6809814.94266555
64,6407919.17001489
65,6266417.92080623
66,6736884.25294018
67,6183026.05905401
68,6073704.51253915
69,5891153.31180589
70,6307175.11619796
71,6354782.86391987
72,7150096.95018807
73,6879083.71968765
74,5844342.94107825
75,6683461.53319797
76,7364947.5714072
77,6309969.92281265
78,6857448.82582505
79,6393436.19789755
80,6318406.83135573
81,6364552.33446091
82,5884537.24604336
83,6731427.32322348
84,6857975.37196296
85,6325531.02417506
86,6044025.21308595
87,6411524.44993395
88,6422102.20494889
89,6985845.57387517
90,7375022.02374828
91,7184754.2731582
92,6845104.34819661
93,6454979.70124316
94,6693602.40799548
95,6031364.55755759
96,6976103.87653069
97,6566282.2719383
98,5762323.41641078
99,6898485.34101117
100,7185045.4307252
101,7556019.10851886
102,7748245.9382798
103,6596656.21482153
104,6051778.48558182
105,8096363.88186099
106,7190247.7828969
107,7119748.03220931
108,6913971.36597182
109,7878415.30725483
110,6801908.84662639
111,7350871.43467336
112,7830758.1178926
113,6565214.95545392
114,7016670.61795451
115,6497311.76435429
116,7114388.35176686
117,6388631.33749861
118,7588198.87987363
119,7193574.07638771
120,7087594.99280831
121,6690849.40826923
122,6977449.87654973
123,7088005.70444551
124,6637474.19377045
125,7600598.59424684
126,7723228.79179382
127,8496146.10726474
128,7297849.33901329
129,8269486.75644039
130,8830120.09324167
131,8742662.15328318
132,7388901.05848648
133,8113657.07200504
134,7382484.15111263
135,7499624.0874357
136,7512795.86116405
137,6780907.83753621
138,7721974.78508324
139,7609348.21050804
140,7807462.60003831
141,7321449.75025686
142,7280099.53845046
143,7260086.68771618
144,9796335.10708989
145,9794906.73422098
146,9872137.44577406
147,10526385.5093253
148,9151289.67996446
149,9465714.63768817
150,10509444.218827
151,9214713.9963386
152,10332304.7364178
153,10673185.0684278
154,10032844.6937624
155,8912797.68267318
156,8025830.56805046
157,9812670.32039005
158,9626718.55527819
159,9679415.78377375
160,10319254.1749627
161,10531918.6568264
162,9275897.46327422
163,11248346.3029415
164,9411111.8267204
165,8538019.90240713
166,12202481.9130956
167,10225360.6553522
168,10183521.9482851
169,9112041.03117378
170,10771720.9485933
171,11244134.7806778
172,9672352.74232865
173,11945018.6431959
174,12941749.3453502
175,11122649.2294458
176,10035261.3673471
177,9591032.60781153
178,11100910.0764288
179,10026818.2871987
180,11731703.7301483
181,12149462.758915
182,10770042.575463
183,11877938.2790655
184,15580744.7153727
185,16443665.5226962
186,16211651.6224218
187,16983774.4918891
188,16642489.0435273
189,15398528.2663666
190,14984659.8529589
191,17128952.0847312
192,17411194.2865449
193,16828129.8548241
194,18104557.6470407
195,16469421.0512328
196,16833084.3068115
197,15115205.1345969
198,17530637.7421003
199,20943626.1747347
200,20098452.3035233
201,20660475.7496612
202,18924858.1213242
203,13928405.3729962
204,17500366.3831521
205,15462127.8066285
206,14378777.9286266
207,17028462.3207378
208,16774166.520507
209,16576546.9153716
210,16904713.8524406
211,12882272.7216123
212,15040475.2089595
213,16318423.0157517
214,14984664.3562564
215,14041153.3883298
216,16311181.085572
217,18846894.0773128
218,16609185.0992313
219,15480924.6966563
220,16680372.7946155
221,19759220.101567
222,21219685.8900861
223,17906834.4189632
224,17538287.9154746
225,20226178.7284416
226,25447586.8029726
227,25683149.7809107
228,22012700.0893407
229,28602342.1291297
230,23684931.4245074
231,25937334.7871369
232,27405858.844721
233,23170049.1634577
234,20510124.4180096
235,21634656.1809865
236,25660429.8291376
237,25608368.4262575
238,27132379.4818537
239,26335706.9788643
240,22174981.6766463
241,27968213.8393009
242,25335914.8683845
243,21508972.6758214
244,19960968.6079638
245,24773188.3315347
246,20609810.0301931
247,20182908.1297771
248,19638311.2811761
249,22149573.0409782
250,16501101.4444106
251,15933222.4948449
252,16208139.7509873
253,24399901.5665187
254,20103997.7422695
255,21529384.3624169
256,18769327.203324
257,17345757.0026475
258,19605754.2098214
259,20745948.0011575
260,18834366.1429315
261,20994348.8070565
262,20887751.4846716
263,17750997.0400789
264,21676009.1554116
265,18606541.3941747
266,22617508.8714294
267,23901417.8952569
268,23105969.697715
269,22256372.3249701
270,24239820.6588186
271,23489547.2769286
272,22052437.2260143
273,22823177.0107999
274,22285954.3660375
275,22402406.2328598
276,19835024.1828409
277,23339417.3415891
278,20751478.0270537
279,20403806.3045699
280,20175209.2411482
281,16818757.380567
282,16497323.400871
283,22512416.2143436
284,21381940.8221323
285,18133519.9255694
286,18244786.7421254
287,20303216.6174991
288,20913191.154222
289,20023054.2210009
290,18051599.1536065
291,17790117.8193427
292,19285143.4357694
293,20199158.8493224
294,19625872.0325795
295,20380765.5464991
296,17386554.1806439
297,19567794.8424031
298,22232234.965443
299,18375693.837806
300,22456931.6286019
301,21464687.5948385
302,20094042.8606613
303,23644815.6797411
304,19160369.4909431
305,23662199.3205437
306,23997270.4992307
307,20481339.8621805
308,19643241.8545153
309,20523303.2794348
310,19411747.0473599
311,21460937.0914746
312,19262723.365071
313,22533478.5270288
314,19373703.7112655
315,19539823.5858986
316,21079948.1168425
317,21169975.568586
318,14647183.7982298
319,19220354.7854656
320,17222704.4025811
321,18142040.4350672
322,13731933.7325467
323,16399123.5708253
324,14292283.4733979
325,13436667.5184307
326,15347785.3282141
327,15983802.9460234
328,15446657.0071901
329,15198779.2000248
330,16377861.1718337
331,15379216.3300375
332,15743886.0120569
333,17060959.4496355
334,14626389.9733706
335,17831123.6787614
336,17060812.1042193
337,14021139.9221787
338,15185999.1606783
339,14628224.1898534
340,16240085.9584146
341,14633533.2162171
342,15858419.0770184
343,16329289.2152908
344,14484979.8988221
345,14984777.0324384
346,16722180.4358311
347,17496598.3543647
348,17079475.3941129
349,12594197.4342478
350,13909079.2686761
351,16769057.9170478
352,13879519.9511491
353,16254462.7222859
354,15907595.3936571
355,15935289.7344978
356,15460313.802921
357,15476389.7763189
358,16052149.3645515
359,16402669.8082591
360,15941423.7726535
361,17451427.0960617
362,15769410.013443
