TimeStamp,TimeStamp,TotalHashRate
0,2018-11-10 00:00:00,47652507.45419567
1,2018-11-11 00:00:00,46121912.99635213
2,2018-11-12 00:00:00,47244348.93210406
3,2018-11-13 00:00:00,47091289.486319706
4,2018-11-14 00:00:00,46683130.964228086
5,2018-11-15 00:00:00,46938230.04053534
6,2018-11-16 00:00:00,47244348.93210406
7,2018-11-17 00:00:00,47185785.91291597
8,2018-11-18 00:00:00,47353181.04189558
9,2018-11-19 00:00:00,45715818.24939444
10,2018-11-20 00:00:00,44526318.98835641
11,2018-11-21 00:00:00,44640705.31233623
12,2018-11-22 00:00:00,42714092.6483446
13,2018-11-23 00:00:00,41998858.13251289
14,2018-11-24 00:00:00,41483931.27576368
15,2018-11-25 00:00:00,41389434.84916741
16,2018-11-26 00:00:00,41578427.70235995
17,2018-11-27 00:00:00,40869704.50288791
18,2018-11-28 00:00:00,40822456.28958978
19,2018-11-29 00:00:00,41436683.06246555
20,2018-11-30 00:00:00,40633463.43639724
21,2018-12-01 00:00:00,39499506.31724197
22,2018-12-02 00:00:00,38601790.26457738
23,2018-12-03 00:00:00,37987563.49170161
24,2018-12-04 00:00:00,37757484.0987607
25,2018-12-05 00:00:00,37101457.81240007
26,2018-12-06 00:00:00,36738876.2898894
27,2018-12-07 00:00:00,37191010.29589564
28,2018-12-08 00:00:00,36990084.38140167
29,2018-12-09 00:00:00,36223720.32571752
30,2018-12-10 00:00:00,35969936.15414294
31,2018-12-11 00:00:00,35927585.01089079
32,2018-12-12 00:00:00,35406314.246223845
33,2018-12-13 00:00:00,35005336.73494159
34,2018-12-14 00:00:00,34844945.73042867
35,2018-12-15 00:00:00,36128073.76653191
36,2018-12-16 00:00:00,37010224.29135288
37,2018-12-17 00:00:00,36488953.52668594
38,2018-12-18 00:00:00,37932472.56730209
39,2018-12-19 00:00:00,38029757.87999836
40,2018-12-20 00:00:00,38621228.80228803
41,2018-12-21 00:00:00,38263941.14131167
42,2018-12-22 00:00:00,37486502.68514604
43,2018-12-23 00:00:00,37857979.277734585
44,2018-12-24 00:00:00,39629042.503029644
45,2018-12-25 00:00:00,38725392.66323073
46,2018-12-26 00:00:00,39381720.460651256
47,2018-12-27 00:00:00,39671825.21542586
48,2018-12-28 00:00:00,41086085.894952014
49,2018-12-29 00:00:00,42065189.44231628
50,2018-12-30 00:00:00,40723454.95148378
51,2018-12-31 00:00:00,40723454.95148378
52,2019-01-01 00:00:00,40988642.93864155
53,2019-01-02 00:00:00,41167951.69083558
54,2019-01-03 00:00:00,41499587.17874794
55,2019-01-04 00:00:00,41374351.15681365
56,2019-01-05 00:00:00,41263555.15423308
57,2019-01-06 00:00:00,42762992.71688323
58,2019-01-07 00:00:00,42006626.677082494
59,2019-01-08 00:00:00,41855386.91444778
60,2019-01-09 00:00:00,42653392.38469464
61,2019-01-10 00:00:00,43172095.9403551
62,2019-01-11 00:00:00,43211996.21386744
63,2019-01-12 00:00:00,43172095.9403551
64,2019-01-13 00:00:00,42174589.10254652
65,2019-01-14 00:00:00,42014988.00849716
66,2019-01-15 00:00:00,42592390.90281262
67,2019-01-16 00:00:00,41364858.10563411
68,2019-01-17 00:00:00,40378611.626217365
69,2019-01-18 00:00:00,39460857.633699015
70,2019-01-19 00:00:00,39321940.28148003
71,2019-01-20 00:00:00,39373100.91338421
72,2019-01-21 00:00:00,40467000.62360207
73,2019-01-22 00:00:00,40531401.6940547
74,2019-01-23 00:00:00,40447831.793654576
75,2019-01-24 00:00:00,40991036.14625531
76,2019-01-25 00:00:00,42453509.40325727
77,2019-01-26 00:00:00,42453509.40325727
78,2019-01-27 00:00:00,43163853.55665823
79,2019-01-28 00:00:00,42328154.55265711
80,2019-01-29 00:00:00,42070490.13916485
81,2019-01-30 00:00:00,42667170.64818566
82,2019-01-31 00:00:00,42182365.65023651
83,2019-02-01 00:00:00,41813561.42624767
84,2019-02-02 00:00:00,42571473.8981909
85,2019-02-03 00:00:00,42249870.14245677
86,2019-02-04 00:00:00,42223714.957061954
87,2019-02-05 00:00:00,42283653.5059508
88,2019-02-06 00:00:00,42324946.1363277
89,2019-02-07 00:00:00,43481139.786881045
90,2019-02-08 00:00:00,44265699.76404225
91,2019-02-09 00:00:00,44472162.91592678
92,2019-02-10 00:00:00,44719918.6981882
93,2019-02-11 00:00:00,44881391.03419476
94,2019-02-12 00:00:00,45052997.46036647
95,2019-02-13 00:00:00,44492827.386146426
96,2019-02-14 00:00:00,44306824.50785981
97,2019-02-15 00:00:00,43191347.20788055
98,2019-02-16 00:00:00,41927449.37113639
99,2019-02-17 00:00:00,42190406.28864556
100,2019-02-18 00:00:00,43174813.52311371
101,2019-02-19 00:00:00,43605270.28805004
102,2019-02-20 00:00:00,44810549.22987175
103,2019-02-21 00:00:00,43820498.6705182
104,2019-02-22 00:00:00,42873493.78765827
105,2019-02-23 00:00:00,44380092.46493541
106,2019-02-24 00:00:00,44078772.729479976
107,2019-02-25 00:00:00,43134261.35239368
108,2019-02-26 00:00:00,42628200.62640031
109,2019-02-27 00:00:00,42855236.492090605
110,2019-02-28 00:00:00,43339079.64864058
111,2019-03-01 00:00:00,44684496.38070917
112,2019-03-02 00:00:00,44696377.202336416
113,2019-03-03 00:00:00,44232555.4303805
114,2019-03-04 00:00:00,44628180.42019511
115,2019-03-05 00:00:00,44369466.33080267
116,2019-03-06 00:00:00,43852038.1520178
117,2019-03-07 00:00:00,43291490.958334185
118,2019-03-08 00:00:00,42946538.83914428
119,2019-03-09 00:00:00,42256634.600764446
120,2019-03-10 00:00:00,42515348.69015688
121,2019-03-11 01:00:00,42083550.082220696
122,2019-03-12 01:00:00,42296165.80599963
123,2019-03-13 01:00:00,42034451.38454937
