TimeStamp,TimeStamp,TotalMarketValue
0,2018-11-09 00:08:29,111388650825.0
1,2018-11-09 18:54:28,110198770312.5
2,2018-11-10 17:55:48,110615352168.75
3,2018-11-11 10:48:45,110293910381.25
4,2018-11-12 04:14:54,110502099312.5
5,2018-11-12 22:44:44,109798308000.0
6,2018-11-13 19:47:26,109016143387.5
7,2018-11-14 14:21:35,107625705200.0
8,2018-11-15 09:34:13,96816721581.25
9,2018-11-16 07:34:06,96189789937.5
10,2018-11-17 02:08:56,95423723268.75
11,2018-11-17 20:35:52,95500659993.75
12,2018-11-18 13:39:40,95977266693.75
13,2018-11-19 10:38:11,91656019593.75
14,2018-11-20 08:23:24,76607498231.25
15,2018-11-21 04:38:34,76596005475.0
16,2018-11-22 03:18:14,78610130775.0
17,2018-11-23 01:44:15,72999441800.0
18,2018-11-23 20:44:39,73448512781.25
19,2018-11-24 15:12:16,73758517775.0001
20,2018-11-25 10:21:29,61302025006.25
21,2018-11-26 09:55:24,67264289812.5
22,2018-11-27 05:34:06,64947079293.75
23,2018-11-28 00:43:21,66448175706.25
24,2018-11-28 23:30:31,72838453931.25
25,2018-11-29 22:32:17,73287694350.0
26,2018-12-01 00:18:32,68821251625.0
27,2018-12-01 21:08:27,72141701018.75
28,2018-12-02 19:39:44,71172584506.25
29,2018-12-03 16:58:36,66121832437.5
30,2018-12-04 14:54:15,69086051212.5
31,2018-12-05 07:48:15,66036252206.25
32,2018-12-06 04:09:08,64605030937.5
33,2018-12-06 21:54:17,62996018717.5889
34,2018-12-07 20:41:18,59835392962.5
35,2018-12-08 17:29:49,58464315375.0
36,2018-12-09 15:05:43,60793583125.0
37,2018-12-10 10:09:59,60702422350.0
38,2018-12-11 06:18:03,59496600100.0
39,2018-12-12 02:00:27,58055402212.5
40,2018-12-12 23:13:58,59462103281.25
41,2018-12-13 20:20:56,57742028793.75
42,2018-12-14 13:22:37,56744675375.0
43,2018-12-15 06:27:46,55938828981.25
44,2018-12-15 23:39:18,55524881993.75
45,2018-12-16 21:26:34,55982189531.25
46,2018-12-17 15:58:16,59097288312.5
47,2018-12-18 06:10:26,60713965043.75
48,2018-12-19 03:08:04,64805994825.0
49,2018-12-19 20:48:43,64819637006.25
50,2018-12-20 13:45:05,69766815975.0
51,2018-12-21 09:46:17,69580341187.5
52,2018-12-22 02:14:30,66717466893.75
53,2018-12-22 19:24:30,67611870562.5
54,2018-12-23 08:16:30,69482906350.0
55,2018-12-23 22:39:16,68197702443.75
56,2018-12-24 15:06:36,73278203943.75
57,2018-12-25 07:36:58,66050282023.3106
58,2018-12-25 23:54:46,65544514875.0
59,2018-12-26 16:38:09,65392488787.5
60,2018-12-27 07:45:08,65222992550.0
61,2018-12-27 21:41:16,62610802312.5
62,2018-12-28 14:18:34,62903464750.0
63,2018-12-29 05:47:56,67759466362.5
64,2018-12-30 00:21:40,64693127537.5
65,2018-12-30 14:52:42,66417201225.0
66,2018-12-31 05:32:40,65977206750.0
67,2018-12-31 22:10:21,64123238437.5
68,2019-01-01 16:48:37,64424873975.0
69,2019-01-02 08:55:44,66271659350.0
70,2019-01-03 01:49:55,67490228756.25
71,2019-01-03 19:02:02,66028724231.25
72,2019-01-04 13:06:03,66016272406.25
73,2019-01-05 03:35:07,66955586175.0
74,2019-01-05 18:06:47,66899634618.75
75,2019-01-06 13:23:00,66590411718.75
76,2019-01-07 07:28:10,70482068625.0
77,2019-01-08 01:34:05,69884834512.5
78,2019-01-08 16:32:22,69916490775.0
79,2019-01-09 09:47:11,70227548393.75
80,2019-01-10 00:39:40,70101926750.0
81,2019-01-10 17:07:50,63126270000.0
82,2019-01-11 09:48:29,63637852587.5
83,2019-01-12 02:16:08,63406737400.0
84,2019-01-12 21:13:04,63420329043.75
85,2019-01-13 17:50:37,61537327856.25
86,2019-01-14 11:11:21,61690625450.0
87,2019-01-15 03:16:22,64107869125.0
88,2019-01-15 22:29:55,62443079193.75
89,2019-01-16 18:03:18,63077272781.25
90,2019-01-17 13:59:35,62714883937.5
91,2019-01-18 11:13:55,63113109300.0
92,2019-01-19 05:02:52,63345248550.0
93,2019-01-19 23:47:44,64521993375.0
94,2019-01-20 14:23:46,61527054750.0
95,2019-01-21 09:47:26,61697899175.0
96,2019-01-22 01:28:32,61912593125.0
97,2019-01-22 22:00:39,62503388250.0
98,2019-01-23 13:54:04,62674343550.0
99,2019-01-24 09:14:12,61987949156.25
100,2019-01-24 23:40:36,62438929600.0
101,2019-01-25 18:25:14,62093636700.0
102,2019-01-26 13:48:49,62702258437.5
103,2019-01-27 06:08:17,62120631300.0
104,2019-01-28 00:07:10,61749107968.75
105,2019-01-28 18:58:13,59775560118.75
106,2019-01-29 13:00:55,59184864362.5
107,2019-01-30 04:51:25,59828423850.0
108,2019-01-31 00:09:40,60130627750.0
109,2019-01-31 17:09:15,59583559250.0
110,2019-02-01 10:07:24,59447963362.5
111,2019-02-02 01:04:14,60100492025.0
112,2019-02-02 18:50:35,60043776750.0
113,2019-02-03 13:50:36,59960776575.0
114,2019-02-04 07:46:37,59807689575.0
115,2019-02-05 00:45:24,59663295781.25
116,2019-02-05 18:27:24,59965708062.5
117,2019-02-06 10:22:24,58927663050.0
118,2019-02-07 01:51:43,59037261075.0
119,2019-02-07 16:25:59,58945337500.0
120,2019-02-08 06:28:04,58949794137.5
121,2019-02-08 22:40:14,63160931818.75
122,2019-02-09 15:19:28,63358525318.75
123,2019-02-10 10:13:14,63152950781.25
124,2019-02-11 03:05:17,63122705825.0
125,2019-02-11 21:15:29,63004790581.25
126,2019-02-12 16:40:34,62764116337.5
127,2019-02-13 13:35:53,62812743075.0
128,2019-02-14 04:02:25,62703498806.25
129,2019-02-14 21:54:02,62646941550.0
130,2019-02-15 19:12:11,62537666643.75
131,2019-02-16 14:21:18,63191407468.75
132,2019-02-17 04:28:07,62889235125.0
133,2019-02-17 20:31:17,62630830500.0
134,2019-02-18 12:46:58,65118174712.5
135,2019-02-19 05:02:23,67921824075.0
136,2019-02-19 22:33:00,68580087312.1169
