TimeStamp,CloseBTC,CloseETH,Difficulty,MinerRevenue,TotalHashRate,TotalMarketValue,TradeCountBTC,TradeCountETH,TradeVolumeBTC,TradeVolumeETH,TransactionFee,Transactions,UniqueAddress
2018-11-11,6449.81,212.54,7184404942702.0,11660743.772251,46121912.99635213,110293910381.25,98435,66072,8213.507117,136268.81156,89656.272250955,246991.0,422963.0
2018-11-12,6453.07,212.89,7184404942702.0,11404614.5659448,47244348.93210406,110150203656.25,123144,52826,10132.782567,99963.97203,89656.272250955,300006.0,510342.0
2018-11-13,6457.66,209.84,7184404942702.0,9557212.46284918,47091289.486319706,109016143387.5,150940,65826,11790.564933,114466.36708,89656.272250955,279160.0,491741.0
2018-11-14,5922.41,187.43,7184404942702.0,10486098.1233794,46683130.964228086,107625705200.0,319011,187653,46478.964003,434676.16832,157433.389744168,292755.0,524970.0
2018-11-15,5753.4,184.35,7184404942702.0,8932985.47548184,46938230.04053534,96816721581.25,303825,212442,47700.829401,452416.10784,157433.389744168,291525.0,523899.0
2018-11-16,5655.94,176.89,7175974755379.84,8908268.51787117,47244348.93210406,96189789937.5,221493,120635,38721.802274,241710.34763,157433.389744168,283124.0,533315.0
2018-11-17,5628.29,176.2,6653303141406.0,10338423.7285062,47185785.91291597,95462191631.25,171403,77570,26411.241413,144804.70986,120442.478506185,262649.0,428640.0
2018-11-18,5662.0,178.97,6653303141406.0,8599720.95927254,47353181.04189558,95977266693.75,154817,68702,23844.999347,141736.32263,120442.478506185,239803.0,393876.0
2018-11-19,4910.03,150.81,6653303141406.0,8462806.97951401,45715818.24939444,91656019593.75,378495,224184,70580.892856,596789.83916,120442.478506185,267971.0,470247.0
2018-11-20,4558.86,133.82,6653303141406.0,7923554.71569229,44526318.98835641,76607498231.25,596769,357568,117380.95159,996552.28721,319205.96282372,288450.0,543711.0
2018-11-21,4661.07,138.23,6653303141406.0,6049615.52431331,44640705.31233623,76596005475.0,301920,246564,61071.829475,718957.78552,319205.96282372,254942.0,472552.0
2018-11-22,4370.0,126.63,6653303141406.0,6996199.90465438,42714092.6483446,78610130775.0,180335,117670,34531.119143,334674.07185,319205.96282372,266116.0,467175.0
2018-11-23,4420.61,125.02,6653303141406.0,6900149.06328676,41998858.13251289,73223977290.625,227935,166040,49371.920322,504352.24386,158280.31328676,275261.0,479022.0
2018-11-24,3932.44,114.89,6653303141406.0,7770115.71803217,41483931.27576368,73758517775.0001,275070,153585,61693.111006,471321.56764,158280.31328676,250017.0,406861.0
2018-11-25,4085.78,118.67,6653303141406.0,6188075.90968278,41389434.84916741,61302025006.25,428171,264902,101693.975588,836233.31252,158280.31328676,239256.0,410530.0
2018-11-26,3862.2,110.68,6653303141406.0,5473562.85458386,41578427.70235995,67264289812.5,413329,224339,94503.750767,679477.36231,146444.342784033,257062.0,469613.0
2018-11-27,3875.21,111.43,6653303141406.0,6208586.79845478,40869704.50288791,64947079293.75,288731,179214,67480.607212,524024.40616,146444.342784033,268533.0,462322.0
2018-11-28,4264.85,122.9,6653303141406.0,6083835.51046033,40822456.28958978,69643314818.75,386714,195923,91983.567949,578552.74124,146444.342784033,254456.0,454764.0
2018-11-29,4295.84,117.98,6653303141406.0,5723625.76989976,41436683.06246555,73287694350.0,316601,180848,73980.198669,478777.39614,190219.863248574,246226.0,461335.0
2018-12-01,4190.02,118.1,6653303141406.0,6537919.26876445,39499506.31724197,70481476321.875,205472,122161,44840.073481,330159.06742,190219.863248574,241847.0,420225.0
2018-12-02,4161.01,116.57,6653303141406.0,5968275.42689432,38601790.26457738,71172584506.25,178087,102151,38912.15479,273657.6215,95712.92689432,222673.0,364379.0
2018-12-03,3884.01,108.76,6194015746026.25,5738092.55036062,37987563.49170161,66121832437.5,207134,115448,49094.369163,324446.03324,95712.92689432,240652.0,426800.0
2018-12-04,3951.64,109.94,5646403851535.0,7036398.75283324,37757484.0987607,69086051212.5,220815,111872,48489.551613,275321.0063,95712.92689432,270189.0,492965.0
2018-12-05,3769.84,102.71,5646403851535.0,6291958.87095126,37101457.81240007,66036252206.25,199011,111602,44004.799448,354071.53241,100121.37095126,256501.0,438438.0
2018-12-06,3508.75,91.0,5646403851535.0,6343227.25560129,36738876.2898894,63800524827.54445,293512,188007,68378.796943,586138.59043,100121.37095126,279654.0,480400.0
2018-12-07,3403.55,93.05,5646403851535.0,4960658.03065221,37191010.29589564,59835392962.5,413521,307599,95145.457442,1030073.58467,100121.37095126,253890.0,495221.0
2018-12-08,3410.93,90.38,5646403851535.0,5447972.13209918,36990084.38140167,58464315375.0,253650,228982,55365.949949,698217.12529,66812.7644208559,231104.0,382550.0
2018-12-09,3545.37,93.26,5646403851535.0,5614631.98059117,36223720.32571752,60793583125.0,194567,158700,45956.893296,520519.36023,66812.7644208559,238569.0,364579.0
2018-12-10,3432.88,89.91,5646403851535.0,5539420.91983261,35969936.15414294,60702422350.0,192599,119278,40989.244553,408573.02929,66812.7644208559,258353.0,443067.0
2018-12-11,3380.39,87.76,5646403851535.0,5337996.89872892,35927585.01089079,59496600100.0,162266,104079,35920.864154,339991.84246,78284.401270355,251487.0,432511.0
2018-12-12,3445.0,89.41,5646403851535.0,5160390.73972739,35406314.246223845,58758752746.875,152067,86407,33922.931286,285436.04029,78284.401270355,261423.0,439270.0
2018-12-13,3302.06,86.34,5646403851535.0,5827864.07679684,35005336.73494159,57742028793.75,160471,94842,40040.917013,331218.30083,78284.401270355,268422.0,439018.0
2018-12-14,3224.17,83.82,5646403851535.0,5982323.51585555,34844945.73042867,56744675375.0,184525,102917,44492.983807,318003.73427,81167.265855545,275801.0,464524.0
2018-12-15,3211.72,83.76,5646403851535.0,6057975.8545267,36128073.76653191,55731855487.5,139806,83696,29796.041436,217360.65775,81167.265855545,262879.0,397644.0
2018-12-16,3228.67,84.67,5646403851535.0,4666604.25778655,37010224.29135288,55982189531.25,125565,78098,24628.808538,241366.76305,81167.265855545,226453.0,364388.0
