Gini_bin,Employ_bin,Natural_Amenity,Count
0.2,0.0,-3.28,3.0
0.2,5.0,-1.2198630136986301,73.0
0.2,10.0,5.18,1.0
0.3,0.0,-1.8486666666666667,15.0
0.3,5.0,-0.8812853773584907,848.0
0.3,10.0,0.6661111111111111,54.0
0.3,15.0,-0.71,1.0
0.4,0.0,-1.1784444444444444,45.0
0.4,5.0,0.29762755102040817,1176.0
0.4,10.0,0.9015813953488372,215.0
0.4,15.0,0.9550000000000001,10.0
0.4,20.0,2.87,1.0
0.5,0.0,-3.12,1.0
0.5,5.0,1.1425252525252525,297.0
0.5,10.0,0.6512,75.0
0.5,15.0,-1.17,1.0
0.5,20.0,4.24,1.0
0.5,25.0,6.45,1.0
0.6,5.0,1.2539655172413793,58.0
0.6,10.0,0.471,20.0
0.7,5.0,0.89,8.0
0.7,10.0,-1.41,1.0
0.8,5.0,2.36,3.0
0.9,5,1,1
1.0,5.0,3.0,1.0
1.1,5.0,-0.31,1.0
