State,County,Labor Force,Employed,Unemployed,Unemployment Rate,Life Expectancy,Natural_Amenity,Median Child Income,Gini,Gini_bin,Employ_bin,Avg Natural_Amenity
AL,AUTAUGA COUNTY,"25,541","24,206","1,335",5.2,75.32,0.78,31900.0,0.381,0.4,5.0,0.72
AL,BALDWIN COUNTY,"87,493","82,619","4,874",5.6,77.483,1.82,30200.0,0.491,0.5,5.0,0.72
AL,BARBOUR COUNTY,"8,590","7,823",767,8.9,73.971,0.19,22400.0,0.492,0.5,10.0,5.18
AL,BIBB COUNTY,"8,552","7,983",569,6.7,73.55,-0.15,26800.0,0.418,0.4,5.0,-1.4098257839721255
AL,BLOUNT COUNTY,"24,416","23,089","1,327",5.4,76.078,0.23,33200.0,0.334,0.3,5.0,-1.4098257839721255
AL,BULLOCK COUNTY,"4,765","4,385",380,8.0,77.6,-1.08,18200.0,0.464,0.5,10.0,-1.4098257839721255
AL,BUTLER COUNTY,"9,113","8,417",696,7.6,73.388,-1.16,22700.0,0.5,0.5,10.0,-1.4098257839721255
AL,CALHOUN COUNTY,"45,808","42,566","3,242",7.1,73.136,0.22,28300.0,0.432,0.4,5.0,-1.4098257839721255
AL,CHAMBERS COUNTY,"14,939","14,031",908,6.1,73.611,-0.34,21600.0,0.423,0.4,5.0,-1.4098257839721255
AL,CHEROKEE COUNTY,"11,132","10,521",611,5.5,74.083,0.64,25000.0,0.406,0.4,5.0,-1.4098257839721255
AL,CHILTON COUNTY,"19,089","18,005","1,084",5.7,73.922,0.38,29300.0,0.392,0.4,5.0,-1.4098257839721255
AL,CHOCTAW COUNTY,"4,369","3,969",400,9.2,74.7,0.92,25700.0,0.47,0.5,10.0,-1.4098257839721255
AL,CLARKE COUNTY,"7,976","7,036",940,11.8,74.388,1.26,27300.0,0.465,0.5,10.0,-1.4098257839721255
AL,CLAY COUNTY,"5,535","5,194",341,6.2,74.6,0.21,27600.0,0.385,0.4,5.0,-1.4098257839721255
AL,CLEBURNE COUNTY,"5,664","5,321",343,6.1,73.3,0.21,34200.0,0.296,0.3,5.0,-1.4098257839721255
AL,COFFEE COUNTY,"20,222","19,010","1,212",6.0,76.536,-0.66,32500.0,0.45,0.4,5.0,-1.4098257839721255
AL,COLBERT COUNTY,"23,550","21,673","1,877",8.0,73.629,0.7,29300.0,0.426,0.4,10.0,-1.4098257839721255
AL,CONECUH COUNTY,"4,671","4,238",433,9.3,73.46,-1.0,24000.0,0.484,0.5,10.0,-1.4098257839721255
AL,COOSA COUNTY,"4,416","4,119",297,6.7,77.9,1.59,22900.0,0.332,0.3,5.0,-1.4098257839721255
AL,COVINGTON COUNTY,"15,422","14,314","1,108",7.2,74.931,-0.17,32000.0,0.465,0.5,5.0,-1.4098257839721255
AL,CRENSHAW COUNTY,"6,339","5,957",382,6.0,74.517,-0.91,30500.0,0.402,0.4,5.0,-1.4098257839721255
AL,CULLMAN COUNTY,"36,296","34,376","1,920",5.3,75.15,0.64,33000.0,0.395,0.4,5.0,-1.4098257839721255
AL,DALE COUNTY,"19,789","18,524","1,265",6.4,76.454,-0.47,28200.0,0.413,0.4,5.0,-1.4098257839721255
AL,DALLAS COUNTY,"15,555","14,056","1,499",9.6,72.473,-0.18,19400.0,0.537,0.5,10.0,-1.4098257839721255
AL,ELMORE COUNTY,"36,655","34,803","1,852",5.1,75.492,2.11,30400.0,0.379,0.4,5.0,-1.4098257839721255
AL,ESCAMBIA COUNTY,"14,564","13,535","1,029",7.1,73.525,-0.03,28500.0,0.489,0.5,5.0,-1.4098257839721255
AL,ETOWAH COUNTY,"42,586","39,936","2,650",6.2,72.521,0.96,28500.0,0.477,0.5,5.0,-1.4098257839721255
AL,FAYETTE COUNTY,"6,406","5,954",452,7.1,73.42,-0.38,34600.0,0.385,0.4,5.0,-1.4098257839721255
AL,FRANKLIN COUNTY,"13,628","12,746",882,6.5,73.367,0.16,32000.0,0.44,0.4,5.0,-1.4098257839721255
AL,GENEVA COUNTY,"10,761","10,120",641,6.0,74.817,-0.51,26600.0,0.434,0.4,5.0,-1.4098257839721255
AL,GREENE COUNTY,"2,872","2,552",320,11.1,75.45,-0.04,16900.0,0.453,0.5,10.0,-1.4098257839721255
AL,HALE COUNTY,"6,034","5,562",472,7.8,75.483,1.43,21100.0,0.587,0.6,10.0,-1.4098257839721255
AL,HENRY COUNTY,"6,702","6,243",459,6.8,75.817,0.07,26100.0,0.444,0.4,5.0,-1.4098257839721255
AL,HOUSTON COUNTY,"44,440","41,655","2,785",6.3,75.968,-0.79,27800.0,0.558,0.6,5.0,-1.4098257839721255
AL,JACKSON COUNTY,"23,407","21,840","1,567",6.7,73.573,1.25,33700.0,0.348,0.3,5.0,-1.4098257839721255
AL,JEFFERSON COUNTY,"310,158","292,165","17,993",5.8,74.164,0.51,26900.0,0.6,0.6,5.0,-1.4098257839721255
AL,LAMAR COUNTY,"5,602","5,246",356,6.4,74.867,-0.85,34100.0,0.341,0.3,5.0,-1.4098257839721255
AL,LAUDERDALE COUNTY,"42,544","39,577","2,967",7.0,74.655,0.9,33900.0,0.482,0.5,5.0,-1.4098257839721255
AL,LAWRENCE COUNTY,"13,642","12,582","1,060",7.8,73.743,0.54,29900.0,0.38,0.4,10.0,-1.4098257839721255
AL,LEE COUNTY,"70,690","66,958","3,732",5.3,77.548,-0.24,25700.0,0.511,0.5,5.0,-1.4098257839721255
AL,LIMESTONE COUNTY,"39,848","37,653","2,195",5.5,75.981,-0.42,31200.0,0.398,0.4,5.0,-1.4098257839721255
AL,LOWNDES COUNTY,"3,819","3,376",443,11.6,73.7,-0.41,17800.0,0.418,0.4,10.0,-1.4098257839721255
AL,MACON COUNTY,"7,951","7,307",644,8.1,73.073,-0.56,18000.0,0.336,0.3,10.0,-1.4098257839721255
