County,Unemployment Rate
Aitkin County,5.4
Anoka County,3.7
Becker County,4.0
Beltrami County,4.7
Benton County,4.0
Big Stone County,3.9
Blue Earth County,3.2
Brown County,3.9
Carlton County,4.6
Carver County,3.2
Cass County,5.5
Chippewa County,4.3
Chisago County,3.9
Clay County,3.2
Clearwater County,7.2
Cook County,3.2
Cottonwood County,4.4
Crow Wing County,4.3
Dakota County,3.5
Dodge County,3.6
Douglas County,3.0
Faribault County,4.5
Fillmore County,3.8
Freeborn County,3.9
Goodhue County,3.5
Grant County,4.1
Hennepin County,3.6
Houston County,3.6
Hubbard County,5.0
Isanti County,4.0
Itasca County,6.1
Jackson County,3.4
Kanabec County,5.2
Kandiyohi County,3.4
Kittson County,4.8
Koochiching County,7.7
Lac qui Parle County,3.8
Lake County,4.6
Lake of the Woods County,4.5
Le Sueur County,4.1
Lincoln County,2.8
Lyon County,3.0
Mahnomen County,5.8
Marshall County,5.6
Martin County,3.8
McLeod County,3.8
Meeker County,3.7
Mille Lacs County,5.0
Morrison County,4.3
Mower County,3.3
Murray County,3.3
Nicollet County,2.9
Nobles County,3.1
Norman County,4.7
Olmsted County,3.0
Otter Tail County,3.6
Pennington County,4.0
Pine County,4.7
Pipestone County,2.9
Polk County,4.6
Pope County,3.3
Ramsey County,3.8
Red Lake County,4.6
Redwood County,3.7
Renville County,4.7
Rice County,3.9
Rock County,2.2
Roseau County,3.8
Scott County,3.2
Sherburne County,3.8
Sibley County,3.8
St. Louis County,5.1
Stearns County,3.5
Steele County,3.5
Stevens County,2.8
Swift County,7.1
Todd County,3.8
Traverse County,3.6
Wabasha County,3.7
Wadena County,5.2
Waseca County,4.2
Washington County,3.3
Watonwan County,4.8
Wilkin County,3.7
Winona County,3.8
Wright County,3.5
Yellow Medicine County,3.6
