,FIPS Code,state,county,Census Division,Rural-urban continuum code,Urban Influence Code,Mean Temperature in Jan,Mean Hours of Sunlight in Jan,Mean Temperature in July,Mean Relative Humidity in July,Land Surface Form Topography,Percent Water Area,100 *Natural Log of Percent Water Area,Standardized Jan Temperature,Standardized Jan Sunlight,Standardized July Temperature,Standardized July Humidity,Standardized Topography,Standardized Water Area,Natural Amenity,Natural Amenity Rank,Commuting Zone ID,Commuting Zone Name ,Number of Children in Core Sample,Rank-Rank Slope,Absolute Upward Mobility,Top 1% Income Share,Interquartile Income Range,Gini,Teenage Birth Rate,Share Between p25 and p75,Mean Parent Income,Mean Child Income,Parent Income P25,Child Income P25,Median Parent Income,Median Child Income,Parent Income P75,Child Income P75,Parent Income P90,Child Income P90,Parent Income P99,Child Income P99
0,1001,AL,AUTAUGA,6,2,2,47.4,130,81.0,66,14,1.4,4.944,1.20277,-0.64758,-0.13206,-0.68502,0.77701,0.26585,0.78,4,11101,Montgomery,"1,846",0.444,38.4,0.061,60882.0,0.381,0.178,0.52,64000.0,45200.0,26900.0,13700.0,53900.0,31900.0,87700.0,62100.0,121600.0,90400.0,227400.0,158000.0
1,1003,AL,BALDWIN,6,2,2,51.9,152,80.6,72,4,21.24,7.661,1.57504,0.01482,0.36308,-1.09576,-0.73966,1.70428,1.82,4,11001,Mobile,"5,061",0.336,39.6,0.127,63854.0,0.491,0.17,0.499,75300.0,42500.0,26600.0,13400.0,53600.0,30200.0,90500.0,59500.0,135600.0,93900.0,444500.0,194500.0
2,1005,AL,BARBOUR,6,6,5,48.8,152,81.0,69,4,2.17,5.378,1.31859,0.01482,-0.01148,-0.89039,-0.73966,0.4957,0.19,4,10301,Eufaula,"1,129",0.398,36.1,0.097,41924.0,0.492,0.238,0.408,50000.0,32700.0,18900.0,10400.0,32000.0,22400.0,60800.0,44600.0,105600.0,75800.0,235700.0,153400.0
3,1007,AL,BIBB,6,6,6,44.8,130,80.8,66,14,0.5,3.916,0.98768,-0.64758,-0.30223,-0.68502,0.77701,-0.27812,-0.15,3,10801,Tuscaloosa,841,0.434,39.1,0.066,52496.0,0.418,0.225,0.461,49600.0,38300.0,18300.0,11600.0,36500.0,26800.0,70800.0,57100.0,98300.0,89300.0,204300.0,165600.0
4,1009,AL,BLOUNT,6,2,2,41.9,130,78.4,66,14,0.76,4.336,0.74778,-0.64758,0.0933,-0.68502,0.77701,-0.05592,0.23,4,10700,Birmingham,"1,224",0.317,42.0,0.063,46598.0,0.334,0.204,0.597,57300.0,40900.0,28100.0,13900.0,50200.0,33200.0,74700.0,61300.0,101400.0,87000.0,213900.0,159800.0
5,1011,AL,BULLOCK,6,6,6,47.8,149,80.2,67,4,0.17,2.81,1.23586,-0.07551,0.11749,-0.75347,-0.73966,-0.86356,-1.08,3,9800,Auburn,514,0.365,34.2,0.149,25035.0,0.464,0.277,0.346,36700.0,26800.0,15900.0,9100.0,24700.0,18200.0,40900.0,33600.0,63600.0,58700.0,193400.0,156300.0
6,1013,AL,BUTLER,6,7,8,49.2,152,80.8,69,4,0.13,2.602,1.35168,0.01482,0.07675,-0.89039,-0.73966,-0.97346,-1.16,3,11101,Montgomery,"1,051",0.494,37.9,0.115,40487.0,0.5,0.205,0.377,44900.0,36000.0,16900.0,11700.0,27800.0,22700.0,57300.0,45800.0,91800.0,78700.0,247800.0,158100.0
7,1015,AL,CALHOUN,6,3,2,42.8,130,79.2,66,15,0.63,4.141,0.82223,-0.64758,-0.04428,-0.68502,0.92868,-0.15897,0.22,4,9600,LaGrange,"4,985",0.399,38.3,0.103,51990.0,0.432,0.21,0.537,59100.0,38300.0,23300.0,12100.0,46600.0,28300.0,75300.0,55600.0,105600.0,86900.0,292500.0,150800.0
8,1017,AL,CHAMBERS,6,5,8,44.2,149,79.2,67,5,0.95,4.557,0.93805,-0.07551,0.0763,-0.75347,-0.588,0.06137,-0.34,3,9600,LaGrange,"1,489",0.386,35.4,0.105,41656.0,0.423,0.251,0.503,48900.0,31800.0,20700.0,11800.0,34700.0,21600.0,62300.0,41300.0,89900.0,70100.0,210500.0,152600.0
9,1019,AL,CHEROKEE,6,6,6,42.8,130,79.2,66,9,7.81,6.66,0.82223,-0.64758,-0.04428,-0.68502,0.01867,1.17434,0.64,4,6600,Rome,683,0.404,37.0,0.107,44943.0,0.406,0.273,0.512,50600.0,34400.0,21200.0,10000.0,37500.0,25000.0,66200.0,48300.0,94600.0,80000.0,158400.0,176600.0
