State,County,Annual_Crime_Rate,Children_Poverty_Rate,Chlamydia_Rate,id,Bachelor_or_High_Degree_Rate,Teenage_Birth_Rate,Natural_Amenity,Life_Expectancy,Population,Annual_Crime_Rate_Rank,Children_Poverty_Rate_Rank,Chlamydia_Rate_Rank,Bachelor_or_High_Degree_Rate_Rank,Teenage_Birth_Rate_Rank,Life_Expectancy_Rank
SC,ABBEVILLE COUNTY,0.0046150251197569,22.0,0.0081785255286832,45.0,15.6,0.191,-0.61,77.65,17118,1927.0,1722.0,2137.0,1772.0,801.5,1302.0
VA,ACCOMACK COUNTY,0.0031479984685412,29.0,0.0101671842429914,51.0,19.5,0.233,1.16,76.888,23507,1437.0,2291.5,2356.0,1241.0,296.5,1001.0
ID,ADA COUNTY,0.0032645238829968,10.0,0.0068766139903526,16.0,38.5,0.116,1.87,79.915,307855,1483.0,261.5,1930.0,203.0,2054.0,2141.0
IA,ADAIR COUNTY,0.0015640273704789,13.0,0.0037145650048875,19.0,18.5,0.097,-1.59,78.133,5115,574.0,580.5,878.0,1374.0,2303.5,1495.5
KY,ADAIR COUNTY,0.0006061065232214,30.0,0.0040154557163421,21.0,18.5,0.218,0.24,76.014,13199,116.0,2344.0,1030.0,1374.0,443.0,677.0
MO,ADAIR COUNTY,0.0046542553191489,19.0,0.006353427895981,29.0,18.5,0.128,-1.11,77.72,13536,1940.0,1382.5,1816.0,1374.0,1889.5,1330.0
OK,ADAIR COUNTY,0.0069847034993364,33.0,0.0081022560592302,40.0,18.5,0.302,1.0,75.34,14317,2367.0,2471.0,2127.0,1374.0,15.0,469.0
CO,ADAMS COUNTY,0.0056282863795469,12.0,0.0090145101848853,8.0,24.3,0.195,2.48,77.978,324255,2161.0,457.5,2245.0,742.5,738.0,1435.0
IA,ADAMS COUNTY,0.0011269722013523,20.0,0.0026296018031555,19.0,24.3,0.1641391035548686,-1.0,78.1,2662,331.0,1516.5,408.0,742.5,1270.0,1482.5
ID,ADAMS COUNTY,0.0015581177937052,21.0,0.0024929884699283,16.0,24.3,0.1641391035548686,3.83,79.0,3209,569.0,1625.5,351.0,742.5,1270.0,1840.0
IL,ADAMS COUNTY,0.0049647696476964,18.0,0.0051815718157181,17.0,24.3,0.131,-2.1,77.456,46125,2015.0,1239.0,1474.0,742.5,1838.5,1224.5
MS,ADAMS COUNTY,0.0043495807362898,41.0,0.0112999417066499,28.0,24.3,0.219,0.12,73.144,22301,1855.0,2596.0,2426.0,742.5,432.5,62.0
NE,ADAMS COUNTY,0.0035509290787041,13.0,0.0041346434478062,31.0,24.3,0.121,-2.36,79.211,20558,1598.0,580.5,1075.0,742.5,1990.0,1910.0
OH,ADAMS COUNTY,0.0012640227524095,30.0,0.0029493864222889,39.0,24.3,0.202,-1.84,74.02,18987,390.0,2344.0,551.0,742.5,633.0,172.0
PA,ADAMS COUNTY,0.0018883119046957,10.0,0.002915775735192,42.0,24.3,0.119,-0.13,79.995,72022,774.0,261.5,536.0,742.5,2015.5,2156.0
WA,ADAMS COUNTY,0.0044805376645197,22.0,0.008494352655652,53.0,24.3,0.18,-1.34,78.66,10713,1898.0,1722.0,2178.0,742.5,946.0,1700.0
WI,ADAMS COUNTY,0.0023593691791878,18.0,0.0030423444679001,55.0,24.3,0.21,-2.43,77.18,16106,1050.0,1239.0,592.0,742.5,528.5,1131.0
VT,ADDISON COUNTY,0.001140833988985,9.0,0.0028717545239968,50.0,39.6,0.064,-0.28,82.04,25420,341.0,188.5,511.0,189.0,2589.5,2547.5
